nro.;nombre;descrip;tamanio;modelo; cantidad ; precio ; tipo 
1;T. CON FRUTAS, NUMEROS Y LETRAS;TEMÁTICAS                                                   ; 1 1/2 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-square fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
<i class=""fa fa-heart fa-2x"" aria-hidden=""true""></i>
</div>"; 1.00 ; 70.00 ;1
2;TORTA  CHANTILLY;KEKE DE VAINILLA, CON RELLENO DE MANJAR BLANCO, BAÑADO EN CREMA DE CHANTILLY.;1/4 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 15.00 ;1
3;TORTA  CHANTILLY;KEKE DE VAINILLA, CON RELLENO DE MANJAR BLANCO, BAÑADO EN CREMA DE CHANTILLY.;1/2 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 20.00 ;1
4;TORTA  CHANTILLY;KEKE DE VAINILLA, CON RELLENO DE MANJAR BLANCO, BAÑADO EN CREMA DE CHANTILLY.; 3/4 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 30.00 ;1
5;TORTA  CHANTILLY;KEKE DE VAINILLA, CON RELLENO DE MANJAR BLANCO, BAÑADO EN CREMA DE CHANTILLY.;1 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-square fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 35.00 ;1
6;TORTA  CHANTILLY;KEKE DE VAINILLA, CON RELLENO DE MANJAR BLANCO, BAÑADO EN CREMA DE CHANTILLY.; 1 1/2 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-square fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 45.00 ;1
7;TORTA  CHANTILLY;KEKE DE VAINILLA, CON RELLENO DE MANJAR BLANCO, BAÑADO EN CREMA DE CHANTILLY.;2 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-square fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 70.00 ;1
8;TRES LECHES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES, RELLENO DE FRESA, BAÑADO EN CREMA DE CHANTILLY.;1/4 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 20.00 ;1
9;TRES LECHES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES, RELLENO DE FRESA, BAÑADO EN CREMA DE CHANTILLY.;1/2 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 25.00 ;1
10;TRES LECHES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES, RELLENO DE FRESA, BAÑADO EN CREMA DE CHANTILLY.; 3/4 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 35.00 ;1
11;TRES LECHES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES, RELLENO DE FRESA, BAÑADO EN CREMA DE CHANTILLY.;1 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 40.00 ;1
12;TRES LECHES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES, RELLENO DE FRESA, BAÑADO EN CREMA DE CHANTILLY.;1 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-square fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 45.00 ;1
13;TRES LECHES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES, RELLENO DE FRESA, BAÑADO EN CREMA DE CHANTILLY.; 1 1/2 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-square fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 60.00 ;1
14;TRES LECHES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES, RELLENO DE FRESA, BAÑADO EN CREMA DE CHANTILLY.;2 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-square fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 90.00 ;1
15;TRES LECHES - SABORES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES. <B>PISCO SOUR, WISKY, CERVEZA, MENTA,FRESA, CHOCOLATE</B>.;1/4 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 23.00 ;1
16;TRES LECHES - SABORES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES. <B>PISCO SOUR, WISKY, CERVEZA, MENTA,FRESA, CHOCOLATE</B>.;1/2 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 28.00 ;1
17;TRES LECHES - SABORES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES. <B>PISCO SOUR, WISKY, CERVEZA, MENTA,FRESA, CHOCOLATE</B>.; 3/4 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 40.00 ;1
18;TRES LECHES - SABORES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES. <B>PISCO SOUR, WISKY, CERVEZA, MENTA,FRESA, CHOCOLATE</B>.;1 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 45.00 ;1
19;TRES LECHES - SABORES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES. <B>PISCO SOUR, WISKY, CERVEZA, MENTA,FRESA, CHOCOLATE</B>.;1 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-square fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 50.00 ;1
20;TRES LECHES - SABORES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES. <B>PISCO SOUR, WISKY, CERVEZA, MENTA,FRESA, CHOCOLATE</B>.; 1 1/2 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-square fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 65.00 ;1
21;TRES LECHES - SABORES;BIZCOCHUELO DE VAINILLA BLANCO, HUMEDO CON JARABE DE TRES LECHES. <B>PISCO SOUR, WISKY, CERVEZA, MENTA,FRESA, CHOCOLATE</B>.;2 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-square fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 90.00 ;1
22;TORTA MERENGUE;KEKE DE VAINILLA O CHOCOLATE, RELLENO DE MANJAR BLANCO BAÑADO CON CREMA DE MERENGUE.;1/4 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 15.00 ;1
23;TORTA MERENGUE;KEKE DE VAINILLA O CHOCOLATE, RELLENO DE MANJAR BLANCO BAÑADO CON CREMA DE MERENGUE.;1/2 KG.;"<div class=""form-group-inline"">
<i class=""fa fa-circle fa-2x"" aria-hidden=""true""></i>&nbsp;&nbsp;
</div>"; 1.00 ; 18.00 ;1
