id|num|Nombre|Descripcion|tamanio|Modelo|cantidad|PRECIO|tipo|estado
|1|TEQUEÑOS (RELLENOS CON JAMON Y QUESO)|TEQUEÑOS (RELLENOS CON JAMON Y QUESO)|||100 UNIDADES| 90.00 |4|A
|2|PIERNITAS |PIERNITAS |||100 UNIDADES| 150.00 |4|A
|3|ALITAS (EN SALSA BBQ)|ALITAS (EN SALSA BBQ)|||100 UNIDADES| 150.00 |4|A
|4|WANTAN (CON SALSA DE TAMARINDO|WANTAN (CON SALSA DE TAMARINDO|||100 UNIDADES| 60.00 |4|A
|5|TRIPLES (JAMON,  QUESO Y POLLO)|TRIPLES (JAMON,  QUESO Y POLLO)|||100 UNIDADES| 90.00 |4|A
|6|CAUSITAS (SIN RELLENO)|CAUSITAS (SIN RELLENO)|||100 UNIDADES| 50.00 |4|A
|7|CAUSITAS (RELLENO DE POLLO)|CAUSITAS (RELLENO DE POLLO)|||100 UNIDADES| 60.00 |4|A
|8|ACEITUNAS RELLENAS|ACEITUNAS RELLENAS|||100 UNIDADES| 50.00 |4|A
|9|PANCHITOS|PANCHITOS|||100 UNIDADES| 150.00 |4|A
|10|EMPANADA (RELLENOS DE POLLO)|EMPANADA (RELLENOS DE POLLO)|||100 UNIDADES| 60.00 |4|A
|11|EMPANADA (RELLENOS DE CARNE)|EMPANADA (RELLENOS DE CARNE)|||100 UNIDADES| 60.00 |4|A
|12|TACACHITO REGIONAL|TACACHITO REGIONAL|||100 UNIDADES| 120.00 |4|A
|13|BOLIYUCAS (RELLENOS DE QUESO)|BOLIYUCAS (RELLENOS DE QUESO)|||100 UNIDADES| 120.00 |4|A
|14|TARTALETAS  SALADAS (RELLENOS DE AJI DE POLLO)|TARTALETAS  SALADAS (RELLENOS DE AJI DE POLLO)|||100 UNIDADES| 120.00 |4|A
|15|BROCHETAS (POLLO)|BROCHETAS (POLLO)|||100 UNIDADES| 150.00 |4|A
|16|BROCHETAS(CECINA Y CHORIZO REGIONAL) |BROCHETAS(CECINA Y CHORIZO REGIONAL) |||100 UNIDADES| 150.00 |4|A
|17|TRUFAS |TRUFAS |||100 UNIDADES| 80.00 |4|A
|18|ALFAJOR |ALFAJOR |||100 UNIDADES| 60.00 |4|A
|19|PIONONOS|PIONONOS|||100 UNIDADES| 60.00 |4|A
|20|TRES LECHES |TRES LECHES |||100 UNIDADES| 150.00 |4|A
|21|MOUSSE (FRESA, MARACUYA, CHOCOLATE)|MOUSSE (FRESA, MARACUYA, CHOCOLATE)|||100 UNIDADES| 150.00 |4|A
|22|CHEESECAKE (FRESA, MARACUYA, CHOCOLATE)|CHEESECAKE (FRESA, MARACUYA, CHOCOLATE)|||100 UNIDADES| 150.00 |4|A
|23|JUEGO DE FRUTAS (1 PIÑA DULCE, 1 PIÑA SALADA Y 1 SANDIA RELLENA)|JUEGO DE FRUTAS (1 PIÑA DULCE, 1 PIÑA SALADA Y 1 SANDIA RELLENA)|||100 UNIDADES| 200.00 |4|A
|24|BOCADITOS SALADOS Y DULCES |BOCADITOS SALADOS Y DULCES |||100 UNIDADES| 30.00 |4|A
