id|num|Nombre|Descripcion|tamanio|Modelo|cantidad|PRECIO|tipo|estado
|1|NÚMEROS |DEL 1 AL 9 Y ?||UNIDAD|| 1.00 |6|A
|2|VELAS ESCARCHADAS|DEL 1 AL 9 Y ?||UNIDAD|| 3.00 |6|A
|3|VELAS CORAZON |VELAS CROMADAS DE COLORES||UNIDAD|| 6.00 |6|A
|4|VELAS PERSONAJE|VELAS CON STICKER DE PERSONAJES||UNIDAD|| 5.00 |6|A
|5|VELAS DE OSITO|NUMERO 1 CELESTE Y ROSADO||UNIDAD|| 5.00 |6|A
|6|VELAS ESTRELLAS |VELAS CROMADAS DE COLORES ||UNIDAD|| 6.00 |6|A
|7|VELAS SIRENA|VELAS DE COLORES ||UNIDAD|| 8.00 |6|A
|8|VELAS MUSICALES|NOTAS MUSICALES||UNIDAD|| 8.00 |6|A
|9|VELAS MAQUILLAJE|ACCESORIOS DE MAQUILLAJE ||UNIDAD|| 8.00 |6|A
|10|VELA CORONA |CORONAS DE COLORES ||UNIDAD|| 8.00 |6|A
|11|VELA UNICORNIO|CUERNOS DE UNICORNIO DE COLOREAS ||UNIDAD|| 5.00 |6|A
|12|VELAS MIXTA|CORAZONES + ESTRELLAS||UNIDAD|| 6.00 |6|A
|13|VELA VOLCAN GRANDE|COLORES||UNIDAD|| 5.00 |6|A
|14|VELA VOLCAN CHICO|COLORES||UNIDAD|| 8.00 |6|A
|15|VELA PALITOS |DORADO Y ROSADO ||UNIDAD|| 5.00 |6|A
|16|VELA GLOBO|VELAS CROMADAS DE COLORES ||UNIDAD|| 6.00 |6|A
|17|VELA CHELERA|CUZQUEÑA, CRISTAL, PILSEN||UNIDAD|| 7.00 |6|A
|18|VELA FUTBOLERA|ALIANZA LIMA, U, SC||UNIDAD|| 7.00 |6|A
|19|VELA FELIZ CUMPLEAÑOS GRANDE |COLORES ||UNIDAD|| 10.00 |6|A
|20|VELA FELIZ CUMPLEAÑOS CHICO|COLORES||UNIDAD|| 8.00 |6|A
|1|TOPER GRANDE|TRUPÁN||UNIDAD|| 15.00 |7|A
|2|TOPER MEDIANO|TRUPÁN||UNIDAD|| 10.00 |7|A
|3|TOPER CHICO|TRUPÁN||UNIDAD|| 6.00 |7|A
|4|TOPER GRANDE|CARTULINA||UNIDAD|| 15.00 |7|A
|5|CORONAS |CERÁMICA FRIO ||UNIDAD|| 25.00 |7|A
|6|TACONES|CERÁMICA FRIO ||UNIDAD|| 45.00 |7|A
|7|CARTERAS|CERÁMICA FRIO ||UNIDAD|| 50.00 |7|A
|8|TOPER DE PERSONAJES|CERÁMICA FRIO ||UNIDAD|| 5.00 |7|A
|9|BISQUIT|MUÑECOS 15 AÑOS, 50 AÑOS, MATRIMONIO, ÁNGELES, PERSONAJES ||UNIDAD|| Desde S/.10.00 |7|A
|10|FLORES |CARTULINA||UNIDAD|| Desde S/.3.00 |7|A
|11|STICKERS |PERSONAJES||UNIDAD|| Desde S/.10.00 |7|A
|12|SET |MAQUILLAJE, DOCTORA, BOMBERO Y PERSONAJES ||UNIDAD|| Desde S/.10.00 |7|A
|13|MINI LICORES |CERVEZAS, PISCO, RON, WISKY ||UNIDAD|| Desde S/.15.00 |7|A
|14|CERVEZAS|SAN JUAN, CORONA, PILSEN, OTROS||UNIDAD|| Desde S/.10.00 |7|A
