id|num|Nombre|Descripcion|tamanio|Modelo|cantidad|PRECIO|tipo|estado
|1|TORTA VAINILLA|KEKE DE VAINILLA, CON RELLENO DE MANJAR BLANCO, BAÑADO EN CREMA DE CHANTILLY.|1/4 KG.||1| 18.00 |1|A
|2|TORTA VAINILLA|KEKE DE VAINILLA, CON RELLENO DE MANJAR BLANCO, BAÑADO EN CREMA DE CHANTILLY.|1/2 KG.||1| 25.00 |1|A
|3|TORTA VAINILLA|KEKE DE VAINILLA, CON RELLENO DE MANJAR BLANCO, BAÑADO EN CREMA DE CHANTILLY.|3/4 KG.||1| 35.00 |1|A
|4|TORTA VAINILLA|KEKE DE VAINILLA, CON RELLENO DE MANJAR BLANCO, BAÑADO EN CREMA DE CHANTILLY.|1 KG.||1| 40.00 |1|A
|5|TORTA VAINILLA|KEKE DE VAINILLA, CON RELLENO DE MANJAR BLANCO, BAÑADO EN CREMA DE CHANTILLY.|1 1/2 KG.||1| 60.00 |1|A
|6|TORTA VAINILLA|KEKE DE VAINILLA, CON RELLENO DE MANJAR BLANCO, BAÑADO EN CREMA DE CHANTILLY.|2 KG.||1| 80.00 |1|A
|7|TRES LECHES|BIZCOCHUELO DE VAINILLA BLANCO - HUMEDO CON JARABE DE TRES LECHES, RELLENO DE CREMA DE  FRESA, BAÑADO EN CREMA DE CHANTILLY.|1/4 KG.||1| 25.00 |1|A
|8|TRES LECHES|BIZCOCHUELO DE VAINILLA BLANCO - HUMEDO CON JARABE DE TRES LECHES, RELLENO DE CREMA DE  FRESA, BAÑADO EN CREMA DE CHANTILLY.|1/2 KG.||1| 25.00 |1|A
|9|TRES LECHES|BIZCOCHUELO DE VAINILLA BLANCO - HUMEDO CON JARABE DE TRES LECHES, RELLENO DE CREMA DE  FRESA, BAÑADO EN CREMA DE CHANTILLY.|3/4 KG.||1| 35.00 |1|A
|10|TRES LECHES|BIZCOCHUELO DE VAINILLA BLANCO - HUMEDO CON JARABE DE TRES LECHES, RELLENO DE CREMA DE  FRESA, BAÑADO EN CREMA DE CHANTILLY.|1 KG.||1| 45.00 |1|A
|11|TRES LECHES|BIZCOCHUELO DE VAINILLA BLANCO - HUMEDO CON JARABE DE TRES LECHES, RELLENO DE CREMA DE  FRESA, BAÑADO EN CREMA DE CHANTILLY.|1 KG.||1| 60.00 |1|A
|12|TRES LECHES|BIZCOCHUELO DE VAINILLA BLANCO - HUMEDO CON JARABE DE TRES LECHES, RELLENO DE CREMA DE  FRESA, BAÑADO EN CREMA DE CHANTILLY.|11/2 KG.||1| 80.00 |1|A
|13|TRES LECHES|BIZCOCHUELO DE VAINILLA BLANCO - HUMEDO CON JARABE DE TRES LECHES, RELLENO DE CREMA DE  FRESA, BAÑADO EN CREMA DE CHANTILLY.|2 KG.||1| 120.00 |1|A
|14|TRES LECHES - SABORES|BIZCOCHUELO DE VAINILLA BLANCO HUMEDO CON JARABE DE TRES LECHES. <br><b>PISCO SOUR:</b>  RELLENO CREMA PASTELERA  PISCO, LIMÓN, DECORADO CON LIMÓN, PISCO Y MIRROIR. <br><b>WISKY:</b> RELLENO CREMA PASTELERA, WISKY, LIMON, DECORADO CON LIMON, WISKY  Y MIRROIR. <br><b>CERVEZA:</b> RELLENO CREMA PASTELERA, CERVEZA, LIMÓN, DECORADO CON LIMÓN, CERVEZA  Y MIRROIR. <br><b>MENTA:</b> CON LICOR DE MENTA Y MIRROIR. <br><b>FRESA:</b> CON JARABE DE TRES LECHES SABOR A FRESA.<br><b>CHOCOLATE:</b> CON JARABE DE TRES LECHES SABOR A CHOCOLATE.|1/4 KG.||1| 25.00 |1|A
|15|TRES LECHES - SABORES|BIZCOCHUELO DE VAINILLA BLANCO HUMEDO CON JARABE DE TRES LECHES. <br><b>PISCO SOUR:</b>  RELLENO CREMA PASTELERA  PISCO, LIMÓN, DECORADO CON LIMÓN, PISCO Y MIRROIR. <br><b>WISKY:</b> RELLENO CREMA PASTELERA, WISKY, LIMON, DECORADO CON LIMON, WISKY  Y MIRROIR. <br><b>CERVEZA:</b> RELLENO CREMA PASTELERA, CERVEZA, LIMÓN, DECORADO CON LIMÓN, CERVEZA  Y MIRROIR. <br><b>MENTA:</b> CON LICOR DE MENTA Y MIRROIR. <br><b>FRESA:</b> CON JARABE DE TRES LECHES SABOR A FRESA.<br><b>CHOCOLATE:</b> CON JARABE DE TRES LECHES SABOR A CHOCOLATE.|1/2 KG.||1| 25.00 |1|A
|16|TRES LECHES - SABORES|BIZCOCHUELO DE VAINILLA BLANCO HUMEDO CON JARABE DE TRES LECHES. <br><b>PISCO SOUR:</b>  RELLENO CREMA PASTELERA  PISCO, LIMÓN, DECORADO CON LIMÓN, PISCO Y MIRROIR. <br><b>WISKY:</b> RELLENO CREMA PASTELERA, WISKY, LIMON, DECORADO CON LIMON, WISKY  Y MIRROIR. <br><b>CERVEZA:</b> RELLENO CREMA PASTELERA, CERVEZA, LIMÓN, DECORADO CON LIMÓN, CERVEZA  Y MIRROIR. <br><b>MENTA:</b> CON LICOR DE MENTA Y MIRROIR. <br><b>FRESA:</b> CON JARABE DE TRES LECHES SABOR A FRESA.<br><b>CHOCOLATE:</b> CON JARABE DE TRES LECHES SABOR A CHOCOLATE.|3/4 KG.||1| 35.00 |1|A
|17|TRES LECHES - SABORES|BIZCOCHUELO DE VAINILLA BLANCO HUMEDO CON JARABE DE TRES LECHES. <br><b>PISCO SOUR:</b>  RELLENO CREMA PASTELERA  PISCO, LIMÓN, DECORADO CON LIMÓN, PISCO Y MIRROIR. <br><b>WISKY:</b> RELLENO CREMA PASTELERA, WISKY, LIMON, DECORADO CON LIMON, WISKY  Y MIRROIR. <br><b>CERVEZA:</b> RELLENO CREMA PASTELERA, CERVEZA, LIMÓN, DECORADO CON LIMÓN, CERVEZA  Y MIRROIR. <br><b>MENTA:</b> CON LICOR DE MENTA Y MIRROIR. <br><b>FRESA:</b> CON JARABE DE TRES LECHES SABOR A FRESA.<br><b>CHOCOLATE:</b> CON JARABE DE TRES LECHES SABOR A CHOCOLATE.|1 KG.||1| 45.00 |1|A
|18|TRES LECHES - SABORES|BIZCOCHUELO DE VAINILLA BLANCO HUMEDO CON JARABE DE TRES LECHES. <br><b>PISCO SOUR:</b>  RELLENO CREMA PASTELERA  PISCO, LIMÓN, DECORADO CON LIMÓN, PISCO Y MIRROIR. <br><b>WISKY:</b> RELLENO CREMA PASTELERA, WISKY, LIMON, DECORADO CON LIMON, WISKY  Y MIRROIR. <br><b>CERVEZA:</b> RELLENO CREMA PASTELERA, CERVEZA, LIMÓN, DECORADO CON LIMÓN, CERVEZA  Y MIRROIR. <br><b>MENTA:</b> CON LICOR DE MENTA Y MIRROIR. <br><b>FRESA:</b> CON JARABE DE TRES LECHES SABOR A FRESA.<br><b>CHOCOLATE:</b> CON JARABE DE TRES LECHES SABOR A CHOCOLATE.|1 KG.||1| 60.00 |1|A
|19|TRES LECHES - SABORES|BIZCOCHUELO DE VAINILLA BLANCO HUMEDO CON JARABE DE TRES LECHES. <br><b>PISCO SOUR:</b>  RELLENO CREMA PASTELERA  PISCO, LIMÓN, DECORADO CON LIMÓN, PISCO Y MIRROIR. <br><b>WISKY:</b> RELLENO CREMA PASTELERA, WISKY, LIMON, DECORADO CON LIMON, WISKY  Y MIRROIR. <br><b>CERVEZA:</b> RELLENO CREMA PASTELERA, CERVEZA, LIMÓN, DECORADO CON LIMÓN, CERVEZA  Y MIRROIR. <br><b>MENTA:</b> CON LICOR DE MENTA Y MIRROIR. <br><b>FRESA:</b> CON JARABE DE TRES LECHES SABOR A FRESA.<br><b>CHOCOLATE:</b> CON JARABE DE TRES LECHES SABOR A CHOCOLATE.|1 1/2 KG.||1| 80.00 |1|A
|20|TRES LECHES - SABORES|BIZCOCHUELO DE VAINILLA BLANCO HUMEDO CON JARABE DE TRES LECHES. <br><b>PISCO SOUR:</b>  RELLENO CREMA PASTELERA  PISCO, LIMÓN, DECORADO CON LIMÓN, PISCO Y MIRROIR. <br><b>WISKY:</b> RELLENO CREMA PASTELERA, WISKY, LIMON, DECORADO CON LIMON, WISKY  Y MIRROIR. <br><b>CERVEZA:</b> RELLENO CREMA PASTELERA, CERVEZA, LIMÓN, DECORADO CON LIMÓN, CERVEZA  Y MIRROIR. <br><b>MENTA:</b> CON LICOR DE MENTA Y MIRROIR. <br><b>FRESA:</b> CON JARABE DE TRES LECHES SABOR A FRESA.<br><b>CHOCOLATE:</b> CON JARABE DE TRES LECHES SABOR A CHOCOLATE.|2 KG.||1| 120.00 |1|A
|21|TORTA CANDY|KEKE DE CHOCOLATE HUMEDO, RELLENO DE FUDGE, BAÑADO CON FUDGE.|1/4 KG.||1| 30.00 |1|A
|22|TORTA CANDY|KEKE DE CHOCOLATE HUMEDO, RELLENO DE FUDGE, BAÑADO CON FUDGE.|1/2 KG.||1| 40.00 |1|A
|23|TORTA CANDY|KEKE DE CHOCOLATE HUMEDO, RELLENO DE FUDGE, BAÑADO CON FUDGE.|3/4 KG.||1| 60.00 |1|A
|24|TORTA CANDY|KEKE DE CHOCOLATE HUMEDO, RELLENO DE FUDGE, BAÑADO CON FUDGE.|1 KG.||1| 80.00 |1|A
|25|TORTA CANDY|KEKE DE CHOCOLATE HUMEDO, RELLENO DE FUDGE, BAÑADO CON FUDGE.|1 1/2 KG.||1| 150.00 |1|A
|26|TORTA CANDY|KEKE DE CHOCOLATE HUMEDO, RELLENO DE FUDGE, BAÑADO CON FUDGE.|2 KG.||1| 150.00 |1|A
|27|SELVA NEGRA Y MOCA|<b>SELVA NEGRA:</b> KEKE DE CHOCOLATE, RELLENO DE FRESA DECORADO CON CREMA CHANTILLY. <br><b>MOCA:</b> KEKE DE CHOCOLATE RELLENO DE MOCA, CAFÉ, RON Y CARAMELINA.       |1/4 KG.||1| 18.00 |1|A
|28|SELVA NEGRA Y MOCA|<b>SELVA NEGRA:</b> KEKE DE CHOCOLATE, RELLENO DE FRESA DECORADO CON CREMA CHANTILLY. <br><b>MOCA:</b> KEKE DE CHOCOLATE RELLENO DE MOCA, CAFÉ, RON Y CARAMELINA.       |1/2 KG.||1| 25.00 |1|A
|29|SELVA NEGRA Y MOCA|<b>SELVA NEGRA:</b> KEKE DE CHOCOLATE, RELLENO DE FRESA DECORADO CON CREMA CHANTILLY. <br><b>MOCA:</b> KEKE DE CHOCOLATE RELLENO DE MOCA, CAFÉ, RON Y CARAMELINA.       |3/4 KG.||1| 35.00 |1|A
